centre-examen,code postal,Ville
Alken,3570,Alken
Bree,3960,Bree
Centre d'examen d'Ottignies/Louvain-la-Neuve,1348,Ottignies - Louvain-la-Neuve
Centre d'examen d'Arlon,6706,Arlon
Centre d'examen de Bastogne,6600,Bastogne
Centre d'examen de Cuesmes,7033,Cuesmes
Centre d'examen de Liège,4020,Wandre
Centre d'examen de Lobbes,6540,Lobbes
Centre d'examen de Marche-en-Famenne,6900,Marche-en-Famenne
Centre d'examen de Namur/Suarlée,5020,Namur-Suarlée
Centre d'examen de Tihange,4500,Tihange
Centre d'examen de Tournai,7522,Marquain
Centre d'examen d'Eupen,4700,Eupen
Deurne,2100,Antwerpen
Geel,2440,Geel
Heverlee - Haasrode,3001,Haasrode
Kontich,2550,Kontich
